From Date,To Date,AT,BP,NO,NO2,NOx,Ozone,PM10,RH,SO2,SR,PM2.5
17-01-2017 08:00,17-01-2017 16:00,9.4,735.79,9.54,39.84,48.52,56.91,203.31,62.73,25.92,224.95,104.06
17-01-2017 16:00,18-01-2017 00:00,7.2,735.16,85.79,79.17,187.69,16.12,271.93,72.81,25.82,12.06,205.95
18-01-2017 00:00,18-01-2017 08:00,2.98,736.22,88.59,60.14,174.57,5.55,215.05,84.19,25.52,5.64,112.52
18-01-2017 08:00,18-01-2017 16:00,12.45,735.33,46.17,86.66,140.26,48.24,297.76,54.56,27.15,233.31,65.8
18-01-2017 16:00,19-01-2017 00:00,9.88,735.58,62.63,112.1,185.4,23.44,275.76,64.49,33.17,11.22,187.53
19-01-2017 00:00,19-01-2017 08:00,4.25,735.96,39.28,64.74,111.32,13.33,198.98,82.91,21.78,5.65,184.01
19-01-2017 08:00,19-01-2017 16:00,13.94,735.05,15.53,58.57,73.38,65.51,226.23,47.66,24.18,264.45,164.94
19-01-2017 16:00,20-01-2017 00:00,10.85,735.57,10.01,74.36,79.9,28.07,176.4,61.95,26.07,9.99,107.92
20-01-2017 00:00,20-01-2017 08:00,4.37,736.07,13.58,55.98,68.42,16.24,151.3,82.21,23.45,5.81,137.79
20-01-2017 08:00,20-01-2017 16:00,13.52,735.41,17.65,54.7,72.84,75.08,270.34,48.13,24.05,264.22,95.19
20-01-2017 16:00,21-01-2017 00:00,9.68,735.74,103.88,95.02,226.58,33.26,283.09,57.02,29.07,10.79, 
21-01-2017 00:00,21-01-2017 08:00, , , , , , , , , , , 
21-01-2017 08:00,21-01-2017 16:00, , , , , , , , , , , 
21-01-2017 16:00,22-01-2017 00:00, , , , , , , , , , , 
22-01-2017 00:00,22-01-2017 08:00, , , , , , , , , , , 
22-01-2017 08:00,22-01-2017 16:00, , , , , , , , , , , 
22-01-2017 16:00,23-01-2017 00:00, , , , , , , , , , , 
23-01-2017 00:00,23-01-2017 08:00, , , , , , , , , , , 
23-01-2017 08:00,23-01-2017 16:00,17.48, ,4.71,48.28,49.45,69.74,238.73,32.56,23.56,231.12,19.25
23-01-2017 16:00,24-01-2017 00:00,13.71,734.81,196.64,107.75,364.5,20.78,337.83,65.21,33.46,12.36,192.9
24-01-2017 00:00,24-01-2017 08:00,8.93,735.53,103.37,74.23,207.3,10.49,360.55,83.65,26.14,5.89,312.7
